2536,1364,7日目,神父ジムゾン,白,考察,修:白寄り,,,,,,,人狼,リデルちゃんは、神>>1170>>1171>>1173>>1175の後は、自分に向かってくる視線を見て考察に加えるやり方に加えて、他灰の発言にも突っ込みを入れていて、発言も伸びていると感じたわね。穿った見方をすれば、疑いが逸れて加速してきた狼の可能性もあるけど、追及姿勢や伸びはどちらかといえば素直に白く見えるかなあ。あ、一つ質問。,,,,,,,,,,,,,,,,,,,,,
2537,1365,7日目,シスターフリーデル,白,,,,,,,,,狩人,トーマス>>1359わたくしはぎりぎりまで見て判断する方なので、考え方の違いかもしれませんが、、危機感がやっぱり少ないように思うのですー！カタリナ>>730で思いましたが、リーザはわたくしに白でしたから、リーザが信用を取るとわたくしを吊れなくなりますですね。リーザを切ったのはわたくしを吊るためかなーと思いましたのです。レジーナが吊りに近かったですので、その関係もありそうなのです。,,,,,,,,,,,,,,,,,,,,,
2538,,7日目,負傷兵シモン,青,,,,,,,,,村人,ヨアヒム 23:30……にゃ？………？カタリにゃ…リーザ…クララに…レ…にゃ、違った…他に墓下に女性っていたかにゃん？モーリッツは中の人女性みたいだけどそこは違うかにゃ…？にゃ。難しいことわからにゃいのにゃヨアヒム 23:36にゃ？…結局よくわからにゃいけど賑やかになってきたから気にしないことにするにゃ地上のん気過ぎるにゃ。気になるのにゃ。昨日なんかよりもっと焦っていはずなのにゃ,,,,,,,,,,,,,,,,,,,,,
2539,,7日目,少女リーザ,青,,,,,,,,,狂人,年以外は誰が希望出すか、チキンレース状態…？さっさと吊り希望出して意見すり合わせた方がいい気もするけど…当事者だと中々そうはいかないかもなの…,,,,,,,,,,,,,,,,,,,,,
2540,,7日目,青年ヨアヒム,青,,,,,,,,,占い師,宿>>23:41うーん、単に人がいない、って言いたかっただけなんだけど…華やかさっていう点で言うならやっぱり（ｒｙ兵>>23:46単に、「レジーナ以外」っていいたかったところでわざわざ他の女性陣まで上げちゃったところがややこしさの原因だね。（ぉぃてかそういや霊ーズもいないね。って、リーザおかえり。,,,,,,,,,,,,,,,,,,,,,
2541,,7日目,青年ヨアヒム,青,,,,,,,,,占い師,んー、フリーデルは発言がどう見ても失速してる気がするんだけど。危機感ないのは他も同じじゃないかなぁ、と。どんな状況下でも消去法で吊りに挙げる人はいるし、消去法を「危機感ない」と評されてもなぁ。妙>>23:46何かお見合いしてる印象を受けるよね。探り合いっていうか。狼側も流れを見定めてるような感じがする。,,,,,,,,,,,,,,,,,,,,,
2542,,7日目,羊飼いカタリナ,青,,,,,,,,,村人,今北産業,,,,,,,,,,,,,,,,,,,,,
2543,,7日目,少女リーザ,青,,,,,,,,,狂人,きこりがしぬ２じかんまえ,,,,,,,,,,,,,,,,,,,,,
2544,1366,7日目,神父ジムゾン,白,質問,,,,,,質問:商,,人狼,商>>1363　なるほど、そういう認識だったなら了解よ。「未確定情報＝仮定」と思うので、仮定が多いとは感じなかったけど。仮定を積み重ねて狼を探すものだとも思ってるしね。★商　どの辺が仮定が多いと思った？質問としては軽いので、余裕があれば簡単に答えてほしいかな。,,,,,,,,,,,,,,,,,,,,,
2545,,7日目,旅人ニコラス,青,,,,,,,,,村人,羊>>23:51シモンが実は猫又だったのデス!?占ーズは居るけど、霊ーズは居ないのデス。,,,,,,,,,,,,,,,,,,,,,
2546,,7日目,青年ヨアヒム,青,,,,,,,,,占い師,カタリナおかえりー。樵怪しまれ中他探り合い中樵弁明＆流れ見定め中,,,,,,,,,,,,,,,,,,,,,
2547,,7日目,宿屋の女主人レジーナ,青,,,,,,,,,村人,狼の思考…ぎりぎりまで見極めて吊り宣言したいな村の思考…宿6票だし村のみんなで狼吊れたはず、1Wなら票合わせの懸念はないな羊年@6樵@3□→凹,,,,,,,,,,,,,,,,,,,,,
2548,,7日目,少女リーザ,青,,,,,,,,,狂人,フリーザさんとアルビノさんは私は単体白取れないの…どちらも疑問点が出てくるの…さすがに灰襲撃し放題だと白ぽさを今回うまく出せた人はろくに残ってないの…消極的に年を白認定する感じかな、なの…その意味では樵の歯切れの悪さもわかるの…昨日宿が吊られたのは、狼がうまく探せず戸惑う村人が多い中で宿と年だけが浮いていて、年は届かないところまでいったけど、宿は浮いている感じだったから吊られたんだと思う,,,,,,,,,,,,,,,,,,,,,
2549,,7日目,羊飼いカタリナ,青,,,,,,,,,村人,リーザ、ニコラス、ヨアヒム、レジーナありがとう（笑）昼の木と年は飛ばしているなーって感じだったけど。はてさて。,,,,,,,,,,,,,,,,,,,,,
2550,1367,7日目,神父ジムゾン,白,考察 質問,修:商:白寄り,,,,,質問:修,,人狼,★修　修>>1310でアルちゃんをかなり人だと思っているとあるのだけど、商>>1278>>1294>>1299から人っぽいと思うまでの過程を教えてほしいわ。修>>1353なら、それで了解よ。あと思ったのは、修>>1275からディタちゃんと対話をしていて、その後も修>>1287>>1296>>1304>>1317と探る姿勢が見えるのよね。で、襲撃が▲者で、その感想が修>>1319。,,,,,,,,,,,,,,,,,,,,,
2551,,7日目,負傷兵シモン,青,,,,,,,,,村人,ん。レジーナ。俺にはこんなネコ言葉なんて恥ずかしくて無理だ一回発言するのにいつもの何倍も時間がかかるのでやめるこれはあれか？昨日の焦った感じはディーター＋トーマスの焦りに他が引きづられたのか？今日はトーマスが勢い落ちた→全体落ちついてきたのか？レジーナ 23:41今は何にも使ってない。考察するときは髭通して特定の奴の発言だけ拾ったりしてた専用の道具使うともっと色々できるんだろうか？,,,,,,,,,,,,,,,,,,,,,
2552,,7日目,少女リーザ,青,,,,,,,,,狂人,さすがに宿と樵ラインはないかなと思うの…でも、どちらも村人と言われると疑問なので、今日終わりはなさそうと予想するの…,,,,,,,,,,,,,,,,,,,,,
2553,,7日目,旅人ニコラス,青,,,,,,,,,村人,零時をお知らせシマス。,,,,,,,,,,,,,,,,,,,,,
2554,,7日目,少女リーザ,青,,,,,,,,,狂人,あぁ、でも尼となら誰がくっついても違和感はないかもなの…今日も疑い継続を見ると朝の予想と違って樵尼は薄いかもなの…尼商とかだと嬉しいの…今日エピでもいいの…,,,,,,,,,,,,,,,,,,,,,
2555,,7日目,羊飼いカタリナ,青,,,,,,,,,村人,フリーデルは宿の白黒を気にしているのはよく分からないね。灰狼が1か2か、という意味で気にするなら分かるんだけど、そういうふうにもあまり見えないし。ただ、さほど木と同時狼な感じにも見えないのが困りどころ。,,,,,,,,,,,,,,,,,,,,,
2556,,7日目,少年ペーター,赤,,,,,,,,,人狼,吊先を提示します【▼:樵】陣営考察[樵（ブレイン）宿老]1d:ディタ兄貴の議題に併せて僕が■5を提示します。本来の意図はまとめ狙いですが、違った活用としては変則的ゾーン占いになります。狼sとしては、初めて見る■5に戸惑ったと思います。結局３人ともＡを出しておりますが、レジ壁貴は[樵の値段次第ってのはなかなかいい指摘ね。]でさりげなくトマ兄貴を持ち上げてます。,,,,,,,,,,,,,,,,,,,,,
2557,,7日目,少年ペーター,赤,,,,,,,,,人狼,（続き）僕と絡みます。1d占希望はモリ老師[●旅○修]、トマ兄貴【●旅○兵】、レジ壁貴【●旅○神】で提出します。2d：リズ姉貴が偽黒を出したのを見るやレジ壁貴が[妙真　旅狼　青狂]で狩剥がしを企図します。占希望はトマ兄貴が【●宿○年】、ここでヨア兄貴を決定し、仲間切りを演出したと考えます。赤でつながってないことをアピのためにレジ壁貴[いたら発言お願い。]モリ老師[わしゃおるよ]発言,,,,,,,,,,,,,,,,,,,,,
2558,,7日目,少年ペーター,赤,,,,,,,,,人狼,その後、レジ壁貴が[2-？陣形かしらね。]で反応を見ます。併せてモリ老師が[FO希望者も半数はいるようじゃが]でＣＯ予告、しかし、ディタ兄貴の【俺は今日COする霊じゃない】で潰されます。しかし、僕の【僕は者>>264に賛同しません】を利用し、トマ兄貴の【僕は今日占先にならなければ先制COする気がある霊じゃないんだな】で霊ＣＯの土壌を作り、モリ老師が霊ＣＯします。トマ兄貴は■5が不気味に見えて、,,,,,,,,,,,,,,,,,,,,,
2559,,7日目,少年ペーター,赤,,,,,,,,,人狼,3d:リズ姉貴偽確させ、▼妙でモリ老師の寿命を延ばします。リナ姉貴の[現段階で霊はロラしたい？　決め打ちしたい？]を見て、村で霊真贋がモリ老師優位と見るやレジ壁貴[決め打ちしたい。]。トマ兄貴[決め打ちは視野に入れてるから今日は霊精査をするつもりなんだな。]で、老真決打を示唆します。トマ兄貴[リデルの白要素を挙げてほしい]でレジ壁貴[客観的な白要素はアタシは拾えないわね。],,,,,,,,,,,,,,,,,,,,,
2560,,7日目,少年ペーター,赤,,,,,,,,,人狼,（続き）[修吊るならアタシに処刑させてね。]これで、リデル姉貴切捨てを示唆。モリ老師はＧＳ[黒:商旅>修>宿神>者書年>兵樵羊:白]で、役割分担としては白位置：トマ兄貴、中位：レジ壁貴に置き、状況を見つつ動けるように画策します。,,,,,,,,,,,,,,,,,,,,,
2561,1368,7日目,行商人アルビン,白,,,,,,,,,村人,神突然ですみません。>>640の後半「ここ、誰かと間違えてたら～」の部分って宿から返信ありました？ざっと見，無さそうなんですが。神>>1358 下段はそのとおりです。,,,,,,,,,,,,,,,,,,,,,
2562,1369,7日目,神父ジムゾン,白,考察,修:白寄り,,,,,,修狼なら、襲撃する相手にここまで絡むだろうかという疑問もあるし、感想が「ディーター白～しましたのです」と素直なのよね。そう考えられることを見越した修狼の白アピという懸念はあるのだけど、どっかで挙げた「自分の中の狼像という型にはめる」という性格や、疑いを解消する動きは、修狼時でも「素直」に動いているように見えるわ。,人狼,修狼なら、襲撃する相手にここまで絡むだろうかという疑問もあるし、感想が「ディーター白～しましたのです」と素直なのよね。そう考えられることを見越した修狼の白アピという懸念はあるのだけど、どっかで挙げた「自分の中の狼像という型にはめる」という性格や、疑いを解消する動きは、修狼時でも「素直」に動いているように見えるわ。,,,,,,,,,,,,,,,,,,,,,
2563,,7日目,ならず者ディーター,青,,,,,,,,,村人,兵23:46もふもふもふもふ昨日焦ってたの、実は俺だけだった疑惑…,,,,,,,,,,,,,,,,,,,,,
2564,,7日目,少年ペーター,赤,,,,,,,,,人狼,>>シャイン呼び水として、以上の陣営考察を提示してトマ兄貴を押し出そうと考えています。3dまでなのは、１発言残すと言う理由にします。後はタイミングですが、それについては指示をお願いします。赤@9,,,,,,,,,,,,,,,,,,,,,
2565,,7日目,青年ヨアヒム,青,,,,,,,,,占い師,修樵狼なら樵吊による最終日を見越してライン切りかなぁとか思わなくもないけど、確かに微妙になってきてるな。というか考え方の違いを許容できるタイプに見えないんだけどフリーデル。自分疑いに対する説得見る限り。,,,,,,,,,,,,,,,,,,,,,
2566,,7日目,少女リーザ,青,考察,修:人狼,,,,,,ここまでの吊り手数を想定すれば尼SGのためだけに妙偽確定はあり得るけど、その後の動きが変だと思うの…やっぱり尼は狼なんじゃという思いが消せないの…,狂人,尼>>1365はそれだけ見れば可笑しくないかもしれないけど、羊と狼2名で力合わせれば霊ロラ終了後に尼吊りに持ち込むのは割と容易だと思うの…ここまでの吊り手数を想定すれば尼SGのためだけに妙偽確定はあり得るけど、その後の動きが変だと思うの…やっぱり尼は狼なんじゃという思いが消せないの…,,,,,,,,,,,,,,,,,,,,,
2567,1370,7日目,行商人アルビン,白,,,,,,,,,村人,神>>1366 「狼ならロラ派と灰つり吊り派に，割ったハズ」とか，「老修狼なら，青を喰わないハズ」とかですかねぇ。仮定がひとつでも間違っていると，どんでん返しになるので。まあ，仮定入れてかないと，何もできませんが。,,,,,,,,,,,,,,,,,,,,,
2568,1371,7日目,シスターフリーデル,白,質問,,,,,,質問:修,,狩人,アルビン>>794でわたくし疑いと>>796霊決めうちを希望したのですが、わたくし疑いの理由は誤解でしたし「白熱しそう」だからという決めうち希望が素朴というか、自由占希望に通じるものがありますですね。ペーター>>836わたくしの>>285を理由に最黒に置いた発言ですが、>>529ではどちらかと言うと白に置いていますです。3dになるまで疑問を感じなかったのですか？,,,,,,,,,,,,,,,,,,,,,
2569,,7日目,ならず者ディーター,青,同調,,,,,,同調:神>>1369,,村人,神>>1369まるっと同意宿が兵考察さらっとだったのが、噛むから関係ないわ、って感じにも見えたんだよな。修は俺噛まれる事知らなそうな感じ。,,,,,,,,,,,,,,,,,,,,,
2570,,7日目,羊飼いカタリナ,青,考察,修:黒,,,,,,,村人,フリーデル>>1365は前も言ってた気がするけど(者もだっけ？)いくらそれまで信用取っていても、狼から真偽がはっきりしている対抗襲撃があった占につなぐかというと。霊の信用と相まって対抗ラインの信用回復するかもしれないし。そこで尼白は取れないと思うな。尼白なら、狼が尼吊り圧力をもっと強めていた気がするんだよね。それがないのが何よりの状況黒要素と思う。,,,,,,,,,,,,,,,,,,,,,
2571,,7日目,木こりトーマス,灰,,,,,,,,,村人,商>>1363　ごめんなさい。超言い掛かりました。もう本当にだめだ、ごめん……(´；ω；｀),,,,,,,,,,,,,,,,,,,,,
2572,,7日目,少女リーザ,青,,,,,,,,,狂人,ただ、まあ、羊は狼のその手の動きを警戒しそうで恐れた。狼の推測ではもっと尼黒視に他が流れるはずだったという線もあるの…＞者00:04昨日、票をまとめる動きはしてたけど、一番危機感が薄いとも言えるのは（内心は知らないの）、自吊りも入れていた宿だと私は思うの…村なら吊り容認的なところにつけこまれたのかもだけど…,,,,,,,,,,,,,,,,,,,,,
2573,1372,7日目,神父ジムゾン,白,,,,,,,,,人狼,商>>1368　アタシは宿>>406が実際に出された希望のことだと思って、その時点で希望はまだ出していなかったから言及したのが神>>640。で、宿>>914を見て「希望出しの方針」のことだと解釈したわ。こういう答えで良いのかしら？　商>>1368下段は把握したわ。と、商>>1370が見えた。ああ、確かにその辺は仮定が多いわね。仮定というか狼像かしら。回答は後で考察に反映させるわ。,,,,,,,,,,,,,,,,,,,,,
2574,,7日目,司書クララ,青,,,,,,,,,村人,こわくないよー。白の連吊りだと今夜で決着しますね。明日に続け。,,,,,,,,,,,,,,,,,,,,,
2575,,7日目,少女リーザ,青,,,,,,,,,狂人,尼神樵商のうち誰が一番最初に希望出すのか当ててみようなの…【OperationｰKAMIKAZE】最初に出した人は割と白とってもいい気分…私は商に1500円なの…,,,,,,,,,,,,,,,,,,,,,
2576,1373,7日目,少年ペーター,白,,,,,,,,,人狼,修>>1371☆既に解答済みだと思ったので探しました。神>>850[今日のGS（年>>803）でリデルちゃん最黒に至ったのはどの辺からかしら？]で年>>1183[これについては僕の勘違いでしたので、リデル姉貴には申し訳なかったです。]で解答しております。@5,,,,,,,,,,,,,,,,,,,,,
2577,,7日目,ならず者ディーター,青,,,,,,,,,村人,羊00:10俺もそこは白に取ってたが、どこかで要素に取らないと言った気がする。修が疑いを上手く逸らした狼か、白視に持ち込んだ村かと言われたら対話した感じが村っぽいんだよなぁ…うぅん…妙00:11「狼と村の自由投票よ、これならいいでしょ」と言われたような気がした恐るべき宿ロック。,,,,,,,,,,,,,,,,,,,,,
2578,,7日目,神父ジムゾン,赤,,,,,,,,,人狼,もう少し短くしてもらえませんか？あと、リデルの>>1371の質問への回答は重要だと思います。陣営の動きより、対話を重視した方が良いと思います。陣営考察はあくまで補助的なものですし、↑のは少し強引かと。,,,,,,,,,,,,,,,,,,,,,
2579,1374,7日目,シスターフリーデル,白,考察,商:白,,,,,,,狩人,ジムゾン>>1367付け加えるとしたら、結構前>>1146から表明していますが、白だと思っていますのです。確認の質問はしていますのですが、基本信じていいと思っていますですね。要素は発言を追いながら挙げてますので、見て欲しいのです。アルビン吊り希望する人がいるなら反対しますのです。,,,,,,,,,,,,,,,,,,,,,
2580,,7日目,負傷兵シモン,青,,,,,,,,,村人,ディーター 00:04ま、間違えただけだから！(//∇//)レジーナの口車に乗せられてちょっとやってみただけ！もふもふするようなケモ成分は俺にはないから！(((((⊃ω⊂)…せっかく頑張ったのにディーター反応遅かったし…どうせ発言気になって寝れないからもうちょっと頑張るいつの間にか落ちてるかも…,,,,,,,,,,,,,,,,,,,,,
2581,,7日目,ならず者ディーター,青,,,,,,,,,村人,【OperationｰKAMIKAZE】年に2000円,,,,,,,,,,,,,,,,,,,,,
2582,,7日目,少年ペーター,赤,,,,,,,,,人狼,了解しました。２発言で収まるように頑張ります。タイミングの指示はお願いします。赤@8,,,,,,,,,,,,,,,,,,,,,
2583,,7日目,羊飼いカタリナ,青,,,,,,,,,村人,【OperationｰKAMIKAZE】その中なら木かなあ、年吊り以外は今や出せなさそうだし。,,,,,,,,,,,,,,,,,,,,,
2584,,7日目,少女リーザ,青,,,,,,,,,狂人,年は▼樵で出したようなものなの…だから省いたの…ペータールールにより問題文を読まなかったディーターさんはボッシュートなの…ちゃらちゃらちゃらーちゃーん…,,,,,,,,,,,,,,,,,,,,,
2585,,7日目,青年ヨアヒム,青,,,,,,,,,占い師,ディーター落ち着いてー。妙>>00:16に年入ってないよ！【OperationｰKAMIKAZE】自分も商に1000円。,,,,,,,,,,,,,,,,,,,,,
2586,1375,7日目,シスターフリーデル,白,質問,,,,,,質問:年,,狩人,ペーター>>1373理由が勘違いだったことは、やりとりしましたので承知していますのです。勘違いに気がつく前の話を聞いていますのです。3dになるまで>>285には疑問を感じなかったのですか？,,,,,,,,,,,,,,,,,,,,,
2587,,7日目,負傷兵シモン,青,,,,,,,,,村人,【OperationｰKAMIKAZE】商に1000円…どうやって払えばいいんだろ？それと年って一応>>1349 で表明してなかったっけ？あ、リーザの選択肢にも無いみたいだよ。ディーター,,,,,,,,,,,,,,,,,,,,,
2588,,7日目,司書クララ,青,,,,,,,,,村人,Ｇ国は参照リンク地獄がいまだに慣れないのです。,,,,,,,,,,,,,,,,,,,,,
2589,,7日目,神父ジムゾン,赤,質問,,,,,,質問:年,,人狼,陣営考察は不要です。【▼樵】の希望出しとその理由をお願いします。私からも↓の質問をする予定ですが、大丈夫ですか？リデルから質問がきているので、そちらを優先して下さい。あと、何回か言及している「リデル姉（ｒｙ」なども、修狼で樵白や宿白だった時の不安が薄めにも映ったので、質問よ。★年　年>>1349などを見るに、修白寄りで見ているのは分かるけど、↑で書いたような不安はなかったかしら？,,,,,,,,,,,,,,,,,,,,,
2590,,7日目,少女リーザ,青,,,,,,,,,狂人,そうそうに墓下に入ると安価付きの考察はもはや読まぬ見ぬ考えぬ…なの…恣意的でもいいから引用元発言の趣旨添えてくれると嬉しいの…,,,,,,,,,,,,,,,,,,,,,
2591,,7日目,旅人ニコラス,青,,,,,,,,,村人,書>>00:16宿黒で黒の連吊りでも一応今夜で決着なのデス。【OperationｰKAMIKAZE】ジブンも商な気がするのデス。樵修はギリギリまで見極めたいと言っていた気がしますし、神よりは商の方が先に考察終わりそうデス。…今回は理由を言っても大丈夫デス？,,,,,,,,,,,,,,,,,,,,,
2592,,7日目,司書クララ,青,,,,,,,,,村人,【OperationｰKAMIKAZE】トマさんにカキ氷ハワイアンブルー。,,,,,,,,,,,,,,,,,,,,,
2593,,7日目,負傷兵シモン,青,,,,,,,,,村人,…！！【OperationｰKAMIKAZE】前言撤回　→　神に1000円万が一正解してスーパーリーザちゃん人形もらうのは困る！なので一番遅くなりそうな神にする,,,,,,,,,,,,,,,,,,,,,
2594,1376,7日目,神父ジムゾン,白,,,,,,,,,人狼,（神>>1369続き）だから、ディタちゃんに探りを入れる→襲撃というのは、修狼だと少し手が込み過ぎていて、非狼っぽいと思ったわ。リデルちゃんは段々要素が拾えてきた感で、感触は狼ぽくない。ペタちゃんは、年>>1203「それと～ました」辺りはやはり人っぽい。年>>1213「僕は、オト兄貴～考えてます」などは結論が先に来ている感で、年白のロックなのか、年狼の誘導や偽装なのかの判断が難しいわ。,,,,,,,,,,,,,,,,,,,,,
2595,,7日目,少年ペーター,赤,,,,,,,,,人狼,了解しました。対応してみます。赤@7,,,,,,,,,,,,,,,,,,,,,
2596,,7日目,少女リーザ,青,,,,,,,,,狂人,　　　 /＼＿＿＿ 　　|?◇⌒　　　　 ＼  i⌒＼丿　　 ノ｢｢｢｢ヽ ヽ │　｢./　　／⌒.　 ⌒＼|  ヽ　Y　　/.　(・)　　(・)　| 　|　 |-(6'　　　　　ゝ　　| <　皆回答有難う！　|　/ヽ　　　 ＿＿＿　/ 　正解者にはスーパーリ○ちゃん人形プレゼントノノ　　＼　　＼＿／ /　夜になると髪が伸びるの！ 　　　　　 ＼＿_＿_／,,,,,,,,,,,,,,,,,,,,,
2597,,7日目,羊飼いカタリナ,青,,,,,,,,,村人,年が狼で宿と木を共に吊りに動いている、っていうのならものすごいよね……,,,,,,,,,,,,,,,,,,,,,
2598,,7日目,司書クララ,青,,,,,,,,,村人,旅>>00:25う、黒黒は宿狼だったり起こりそうかしら。なんだか理屈の上では黒の連吊りもありえるけど、すごく難しそうな気がするんですよね。,,,,,,,,,,,,,,,,,,,,,
2599,1377,7日目,少年ペーター,白,,,,,,,,,人狼,修>>1375すみません、質問の意図を読み違えてました。僕は3dまで疑問に感じてませんでした。3dではヨア兄貴が襲撃されましたので、その時占希望先であった、リデル姉貴が狼だと考えるようになりました。それからリデル姉貴の発言を精査したところ、修>>285に至ったわけです。@4,,,,,,,,,,,,,,,,,,,,,
2600,,7日目,司書クララ,青,,,,,,,,,村人,夜なのに涼しくない……。襲撃予想は今夜こそ商に。,,,,,,,,,,,,,,,,,,,,,
2601,,7日目,青年ヨアヒム,青,,,,,,,,,占い師,妙>>00:28つまり毎日いろんなヘアスタイルを楽しめる素敵な人形なんだね。（ぇ羊>>00:28あからさま過ぎて疑いにくいよね、ペーター…。書>>00:28わかるわかる。すごく難しそうだよね。って、女性陣なんで発言時間がシンクロしてるのさ！(笑),,,,,,,,,,,,,,,,,,,,,
2602,,7日目,少年ペーター,赤,,,,,,,,,人狼,すいません、すぐには反応できませんので、樵吊理由に移行して宜しいですか？赤@6,,,,,,,,,,,,,,,,,,,,,
2603,,7日目,神父ジムゾン,赤,,,,,,,,,人狼,はい、大丈夫です。,,,,,,,,,,,,,,,,,,,,,
2604,,7日目,旅人ニコラス,青,,,,,,,,,村人,妙>>00:28それはいらないのデス…。回避したシモンは偉いのデス…。羊>>00:28そうだったら、ジブン完全にペーターの実力誤認なのデス…。書>>00:28正直、ジブンも今夜決着の場合は、村負けな気がするのデス…。なんか今日も喉使い失敗なのデス…。@1,,,,,,,,,,,,,,,,,,,,,
2605,,7日目,ならず者ディーター,青,,,,,,,,,村人,あれ？気づいたらボッシュート…リーザからのご褒美が怖いのでむしろボッシュートでもいいかもな…oO（おいお前ら金メダルだぞ）[シモン抱きしめつつ],,,,,,,,,,,,,,,,,,,,,
2606,1378,7日目,神父ジムゾン,白,考察 希望 質問,年:白寄り,吊り希望:年樵,,,,質問:年,ペタちゃんは人要素はかなり拾えるんだけど、非狼とまではいかないかな。,人狼,あと、何回か言及している「リデル姉（ｒｙ」なども、修狼で樵白や宿白だった時の不安が薄めにも映ったので、質問よ。★年　年>>1349などを見るに、修白寄りで見ているのは分かるんだけど、↑で書いたような不安はなかったかしら？ペタちゃんは人要素はかなり拾えるんだけど、非狼とまではいかないかな。吊り先は他灰も見て考える。現状では▼年か▼樵、理由はこれから書くわ。,,,,,,,,,,,,,,,,,,,,,
2607,,7日目,司書クララ,青,,,,,,,,,村人,スーパーリザちゃん人形って変身しそうな名前ですね。ニッポン！（ちゃちゃちゃ）　ニッポン！（ちゃちゃちゃ）＞金メダル,,,,,,,,,,,,,,,,,,,,,
2608,,7日目,少年ペーター,赤,,,,,,,,,人狼,吊先希望を提示します。【▼：】樵理由については、既に述べている通りです。僕は、霊真贋を怠ったのは別な理由を考えています。3dは、リナ姉貴が霊ロラか決打かで提言し、それに対してトマ兄貴は真贋差有利のモリ老師を決打ちしようとしました。しかし、村の意思はロラであり、決め打ちを主張したレジ壁貴が疑いを持たれるようになります。そこで、狼sで対応策を練っていた結果、灰への質問がおろそかになったと考えます,,,,,,,,,,,,,,,,,,,,,
2609,,7日目,少女リーザ,青,,,,,,,,,狂人,　　　 /＼＿＿＿ 　　|?◇⌒　　　　 ＼  i⌒＼丿　　 ノ｢｢｢｢ヽ ヽ │　｢./　　／⌒.　 ⌒＼|  ヽ　Y　　/.　(・)　　(・)　| 　|　 |-(6'　　　　　ゝ　　| <おめでとう！シモンさん！　|　/ヽ　　　 ＿＿＿　/ 　私…貴方のものなの…不束者ですが…ノノ　　＼　　＼＿／ / 　コンゴトモヨロシク…　　　　　 ＼＿_＿_／,,,,,,,,,,,,,,,,,,,,,
2610,,7日目,負傷兵シモン,青,,,,,,,,,村人,にゃ？ディーター何なのにゃ？俺今ちょっと落ちてたのにゃ/(*--)--*)ｷﾞｭｯ♪…きんめだるっておいしいのかにゃ？@2,,,,,,,,,,,,,,,,,,,,,
2611,,7日目,少年ペーター,赤,,,,,,,,,人狼,神>>1378考えてみれば、リデル姉貴狼の可能性を低く考えていたかもしれません。状況黒をひっくり返した事で、白く見えたのかもしれません。すいませんでした・・・。でどうでしょうか？問題なければ発言します赤@4,,,,,,,,,,,,,,,,,,,,,
2612,,7日目,青年ヨアヒム,青,,,,,,,,,占い師,旅>>00:34実は僕もこれで@1なんだ。（ぉ者>>00:35ごめん卓球見てた。愛ちゃんベスト8進出おめでとー。書>>00:38スーパードールリザちゃんだねわかるよ。何故か。（ぉぃ,,,,,,,,,,,,,,,,,,,,,
2613,,7日目,司書クララ,青,,,,,,,,,村人,ちょｗ怖いしｗ私いまシモンでなくてよかったと心の底から思った。,,,,,,,,,,,,,,,,,,,,,
2614,,7日目,神父ジムゾン,赤,,,,,,,,,人狼,神>>1378考えてみれば、リデル姉貴狼の可能性を低く考えていたかもしれません。状況黒をひっくり返した事で、白く見えたのかもしれません。確かに可能性がゼロではないので不安はありますが、宿樵狼だと思っています。↑こんなんでどうでしょう？吊先希望を出してから数分後に出す流れで。,,,,,,,,,,,,,,,,,,,,,
2615,,7日目,青年ヨアヒム,青,,,,,,,,,占い師,シモンが、避けようとしたシモンが正解しちゃったぁー！？(笑)シモンとディーターとリーザの三角関係は本当に面白いな。（ぉぃって、これは下手するとペーター吊でフリーデルとトーマスが合わせてくる可能性ありかな？@0,,,,,,,,,,,,,,,,,,,,,
2616,,7日目,ならず者ディーター,青,,,,,,,,,村人,ぎゃー！俺は全力でスーパーリ○ちゃん人形からシモンを守るぞ…！シモン＞きんめだるは食べちゃダメだからべっしなさい、べっ,,,,,,,,,,,,,,,,,,,,,
2617,,7日目,羊飼いカタリナ,青,,,,,,,,,村人,ヨアヒム>>00:43　木尼狼と仮定すると、それやると木吊りで明日があったときにかなりフリーデルが辛くなりそう。難しいところだろうね。,,,,,,,,,,,,,,,,,,,,,
2618,1379,7日目,神父ジムゾン,白,考察,修:非人狼 商:白寄り,,,,,,,人狼,リデルちゃんは上の方で書いた理由で非狼っぽく見えたので除外。アルちゃんは対話して疑問が解消したのと、商>>1363>>1370を見て、「不安で揺れる気持ち」が素直に出てきたのが人っぽいと思ったわね。リデルちゃんの商非狼理由は時間があったら読み返すわ。トマちゃんは「質問→性格把握→トレース」が本当に一貫していて、その辺は今も白っぽく感じるのだけど、動きを見て悩んだ。,,,,,,,,,,,,,,,,,,,,,
2619,,7日目,少年ペーター,赤,,,,,,,,,人狼,了解しました。では、吊先希望のタイミング指示をお願いします。赤@3,,,,,,,,,,,,,,,,,,,,,
2620,,7日目,負傷兵シモン,青,,,,,,,,,村人,…！！！！！！！！！！！！！！！！！！！！！いや待て、リーザ、まだジムゾンの希望は暫定だろ。本決まりではないだろ？だったらまだ決定は早いよな？な？な？なんで俺ばっかりこんな目に会うんだ？誰か教えてくれちゃんと想定できる悪夢を予期して、希望をわざわざ変えたんだぞ！？@1,,,,,,,,,,,,,,,,,,,,,
2621,,7日目,神父ジムゾン,赤,,,,,,,,,人狼,今出して下さい。,,,,,,,,,,,,,,,,,,,,,
